time e1 e2 e3
0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2.0000e-02 3.7749e-03 2.6517e-01 2.3218e-02
4.0000e-02 3.4302e-03 5.6038e-01 3.0588e-02
6.0000e-02 4.5267e-03 9.4828e-01 4.7737e-02
8.0000e-02 7.0418e-03 1.3943e+00 6.9766e-02
1.0000e-01 8.7414e-03 1.5720e+00 7.6378e-02
1.2000e-01 7.8192e-03 1.4844e+00 6.9854e-02
1.4000e-01 6.7400e-03 1.8533e+00 7.5562e-02
1.6000e-01 7.9297e-03 2.2291e+00 8.8895e-02
1.8000e-01 9.7980e-03 2.5205e+00 1.0167e-01
2.0000e-01 1.1283e-02 2.4766e+00 1.0126e-01
2.2000e-01 9.9151e-03 2.4642e+00 9.9073e-02
2.4000e-01 8.8388e-03 2.8365e+00 1.0783e-01
2.6000e-01 1.1423e-02 3.3613e+00 1.2565e-01
2.8000e-01 1.0286e-02 3.2124e+00 1.1738e-01
3.0000e-01 1.3100e-02 3.2776e+00 1.2377e-01
3.2000e-01 1.1514e-02 3.4327e+00 1.2506e-01
3.4000e-01 1.1492e-02 3.7712e+00 1.3617e-01
3.6000e-01 1.1945e-02 3.8840e+00 1.3785e-01
3.8000e-01 1.1581e-02 3.8854e+00 1.3586e-01
4.0000e-01 1.4367e-02 4.0607e+00 1.4614e-01
4.2000e-01 1.2872e-02 4.3660e+00 1.5061e-01
4.4000e-01 1.2832e-02 4.6782e+00 1.5979e-01
4.6000e-01 1.0282e-02 4.5532e+00 1.5131e-01
4.8000e-01 1.2498e-02 4.5235e+00 1.5416e-01
5.0000e-01 1.5199e-02 5.8695e+00 2.0330e-01
5.2000e-01 1.3940e-02 5.2711e+00 1.7548e-01
5.4000e-01 1.2311e-02 5.2555e+00 1.6881e-01
5.6000e-01 1.1055e-02 5.1966e+00 1.6638e-01
5.8000e-01 1.3193e-02 5.2299e+00 1.7360e-01
6.0000e-01 1.6063e-02 5.6994e+00 1.8962e-01
6.2000e-01 1.4551e-02 5.9148e+00 1.8888e-01
6.4000e-01 1.3844e-02 5.7691e+00 1.7984e-01
6.6000e-01 1.4226e-02 6.1758e+00 1.9408e-01
6.8000e-01 1.4054e-02 6.4231e+00 1.9722e-01
7.0000e-01 1.6924e-02 6.3697e+00 1.9737e-01
7.2000e-01 1.5401e-02 6.2995e+00 1.9678e-01
7.4000e-01 1.5116e-02 6.4940e+00 2.0502e-01
7.6000e-01 1.5197e-02 7.1756e+00 2.1662e-01
7.8000e-01 1.4889e-02 6.8195e+00 2.0515e-01
8.0000e-01 1.7778e-02 6.9566e+00 2.1152e-01
8.2000e-01 1.6231e-02 6.9572e+00 2.1452e-01
8.4000e-01 1.6898e-02 7.2877e+00 2.2526e-01
8.6000e-01 1.5841e-02 7.3091e+00 2.1822e-01
8.8000e-01 1.5556e-02 7.4154e+00 2.1848e-01
9.0000e-01 1.8408e-02 7.5790e+00 2.2831e-01
9.2000e-01 1.7110e-02 7.7535e+00 2.3392e-01
9.4000e-01 1.5414e-02 7.8690e+00 2.3235e-01
9.6000e-01 1.4082e-02 7.8606e+00 2.2755e-01
9.8000e-01 1.6212e-02 7.9586e+00 2.3160e-01
1.0000e+00 1.8940e-02 9.4393e+00 2.8395e-01
