time e1 e2 e3
0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2.0000e-02 8.0310e-04 1.3999e-01 8.0663e-03
4.0000e-02 2.2549e-03 3.7198e-01 1.9794e-02
6.0000e-02 3.4751e-03 8.8104e-01 3.6270e-02
8.0000e-02 2.1104e-03 7.7883e-01 2.7754e-02
1.0000e-01 5.0025e-03 1.5137e+00 5.7204e-02
1.2000e-01 2.9448e-03 1.2284e+00 3.9887e-02
1.4000e-01 5.6478e-03 1.8162e+00 6.2636e-02
1.6000e-01 4.5690e-03 1.6712e+00 5.3147e-02
1.8000e-01 5.0493e-03 2.1061e+00 6.4550e-02
2.0000e-01 4.9003e-03 2.1194e+00 6.7827e-02
2.2000e-01 4.4769e-03 2.4362e+00 6.8442e-02
2.4000e-01 5.3136e-03 2.4759e+00 7.5010e-02
2.6000e-01 4.0839e-03 2.7443e+00 7.4861e-02
2.8000e-01 6.3095e-03 2.8954e+00 8.4559e-02
3.0000e-01 5.5102e-03 3.0682e+00 8.3909e-02
3.2000e-01 7.3288e-03 3.2999e+00 9.5015e-02
3.4000e-01 5.7973e-03 3.3229e+00 8.7326e-02
3.6000e-01 8.0522e-03 3.7133e+00 1.0554e-01
3.8000e-01 5.5395e-03 3.5842e+00 9.2379e-02
4.0000e-01 7.6677e-03 4.0032e+00 1.0886e-01
4.2000e-01 6.1712e-03 3.8744e+00 9.9643e-02
4.4000e-01 6.5591e-03 4.2002e+00 1.0755e-01
4.6000e-01 6.9246e-03 4.1273e+00 1.0815e-01
4.8000e-01 5.8166e-03 4.4167e+00 1.0850e-01
5.0000e-01 7.7262e-03 5.4152e+00 1.3754e-01
5.2000e-01 5.5852e-03 4.6517e+00 1.1208e-01
5.4000e-01 8.5253e-03 4.8445e+00 1.2558e-01
5.6000e-01 5.9031e-03 4.9020e+00 1.1775e-01
5.8000e-01 9.3527e-03 5.2158e+00 1.3320e-01
6.0000e-01 8.8354e-03 5.2593e+00 1.2610e-01
6.2000e-01 9.3135e-03 5.4541e+00 1.3510e-01
6.4000e-01 8.0497e-03 5.4632e+00 1.2892e-01
6.6000e-01 8.3026e-03 5.8751e+00 1.3750e-01
6.8000e-01 9.4665e-03 6.2878e+00 1.4709e-01
7.0000e-01 7.1706e-03 5.8229e+00 1.3280e-01
7.2000e-01 9.5977e-03 5.7963e+00 1.4343e-01
7.4000e-01 7.2062e-03 5.9036e+00 1.3481e-01
7.6000e-01 8.8352e-03 6.0330e+00 1.4481e-01
7.8000e-01 7.9373e-03 6.1180e+00 1.3977e-01
8.0000e-01 8.1186e-03 6.3458e+00 1.4843e-01
8.2000e-01 8.7082e-03 6.3378e+00 1.4624e-01
8.4000e-01 8.8548e-03 6.5365e+00 1.4826e-01
8.6000e-01 9.4323e-03 6.6465e+00 1.5481e-01
8.8000e-01 7.7893e-03 6.7424e+00 1.5002e-01
9.0000e-01 1.0131e-02 7.0050e+00 1.6473e-01
9.2000e-01 7.5446e-03 6.9262e+00 1.5306e-01
9.4000e-01 1.0877e-02 7.2396e+00 1.6963e-01
9.6000e-01 8.0004e-03 7.1843e+00 1.5800e-01
9.8000e-01 1.0053e-02 7.3774e+00 1.6817e-01
1.0000e+00 8.6466e-03 8.5559e+00 1.8525e-01
