time e1 e2 e3
0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2.0000e-02 3.4851e-03 5.5545e-02 5.9605e-03
4.0000e-02 1.2100e-02 7.0970e-01 5.7420e-02
6.0000e-02 1.4700e-02 1.1556e+00 8.8697e-02
8.0000e-02 1.5267e-02 1.1571e+00 7.8955e-02
1.0000e-01 1.6933e-02 1.4471e+00 9.5021e-02
1.2000e-01 1.5584e-02 1.8061e+00 1.0970e-01
1.4000e-01 1.4820e-02 2.0048e+00 1.2019e-01
1.6000e-01 1.6250e-02 1.9359e+00 1.1343e-01
1.8000e-01 1.6349e-02 2.2219e+00 1.2870e-01
2.0000e-01 2.1254e-02 2.7606e+00 1.6071e-01
2.2000e-01 1.6447e-02 2.5918e+00 1.3744e-01
2.4000e-01 2.2571e-02 3.0668e+00 1.6409e-01
2.6000e-01 2.1603e-02 2.9800e+00 1.5738e-01
2.8000e-01 1.6801e-02 2.8385e+00 1.4934e-01
3.0000e-01 2.6625e-02 3.2467e+00 1.7759e-01
3.2000e-01 2.4549e-02 3.5303e+00 1.8284e-01
3.4000e-01 2.1467e-02 3.4182e+00 1.7375e-01
3.6000e-01 2.3466e-02 3.5539e+00 1.8120e-01
3.8000e-01 2.7410e-02 4.0500e+00 2.0451e-01
4.0000e-01 2.6101e-02 4.0617e+00 2.0098e-01
4.2000e-01 2.1390e-02 3.9787e+00 1.9369e-01
4.4000e-01 2.5938e-02 4.4196e+00 2.1770e-01
4.6000e-01 2.2089e-02 4.5706e+00 2.1131e-01
4.8000e-01 2.0796e-02 4.4157e+00 2.0563e-01
5.0000e-01 2.9576e-02 5.7741e+00 2.8094e-01
5.2000e-01 2.0104e-02 4.8425e+00 2.1572e-01
5.4000e-01 2.4624e-02 4.8137e+00 2.2328e-01
5.6000e-01 2.9074e-02 5.1726e+00 2.4479e-01
5.8000e-01 2.2027e-02 5.3392e+00 2.3656e-01
6.0000e-01 2.8227e-02 5.3467e+00 2.4116e-01
6.2000e-01 2.8225e-02 5.5346e+00 2.5334e-01
6.4000e-01 2.7317e-02 6.0052e+00 2.6515e-01
6.6000e-01 2.3044e-02 6.0724e+00 2.5751e-01
6.8000e-01 2.7440e-02 6.1688e+00 2.7094e-01
7.0000e-01 3.1949e-02 6.7178e+00 2.9288e-01
7.2000e-01 2.4569e-02 6.2287e+00 2.6151e-01
7.4000e-01 2.9269e-02 6.6486e+00 2.8717e-01
7.6000e-01 2.8235e-02 6.5139e+00 2.7791e-01
7.8000e-01 2.5298e-02 6.3208e+00 2.6743e-01
8.0000e-01 3.1324e-02 6.4627e+00 2.8894e-01
8.2000e-01 3.3546e-02 6.7254e+00 2.9432e-01
8.4000e-01 2.8422e-02 6.7425e+00 2.8443e-01
8.6000e-01 2.8533e-02 6.7092e+00 2.9021e-01
8.8000e-01 3.6773e-02 7.1022e+00 3.0988e-01
9.0000e-01 3.3471e-02 7.2041e+00 3.0447e-01
9.2000e-01 2.9993e-02 7.1000e+00 2.9761e-01
9.4000e-01 3.7196e-02 7.3649e+00 3.1974e-01
9.6000e-01 3.4552e-02 7.5288e+00 3.1433e-01
9.8000e-01 3.1875e-02 7.8742e+00 3.1716e-01
1.0000e+00 3.8625e-02 8.8828e+00 3.8581e-01
