time e1 e2 e3
0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2.0000e-02 9.7731e-03 1.5850e-01 2.0045e-02
4.0000e-02 3.6664e-02 6.5708e-01 9.8092e-02
6.0000e-02 6.2233e-02 1.0962e+00 1.7394e-01
8.0000e-02 3.7587e-02 1.0726e+00 1.3635e-01
1.0000e-01 7.4633e-02 1.5241e+00 2.0292e-01
1.2000e-01 7.3898e-02 1.8705e+00 2.3222e-01
1.4000e-01 8.0438e-02 1.9572e+00 2.3927e-01
1.6000e-01 1.0429e-01 2.2120e+00 2.7674e-01
1.8000e-01 1.0386e-01 2.5393e+00 3.0351e-01
2.0000e-01 1.0146e-01 2.6632e+00 3.1846e-01
2.2000e-01 1.2764e-01 2.8580e+00 3.3873e-01
2.4000e-01 1.1318e-01 2.9632e+00 3.3415e-01
2.6000e-01 8.9555e-02 2.9837e+00 3.2141e-01
2.8000e-01 1.1882e-01 3.3187e+00 3.7673e-01
3.0000e-01 1.0787e-01 3.6659e+00 4.0664e-01
3.2000e-01 9.5187e-02 3.6164e+00 3.9431e-01
3.4000e-01 1.2951e-01 3.9451e+00 4.5071e-01
3.6000e-01 1.2127e-01 4.2304e+00 4.5586e-01
3.8000e-01 9.6485e-02 4.3145e+00 4.6004e-01
4.0000e-01 1.3006e-01 4.9478e+00 5.3671e-01
4.2000e-01 1.1018e-01 4.7833e+00 4.9987e-01
4.4000e-01 1.2673e-01 4.8069e+00 5.0897e-01
4.6000e-01 1.3727e-01 5.3925e+00 5.6918e-01
4.8000e-01 9.4954e-02 5.5577e+00 5.4909e-01
5.0000e-01 1.2087e-01 6.0721e+00 6.1432e-01
5.2000e-01 1.5184e-01 5.8750e+00 6.2374e-01
5.4000e-01 1.1761e-01 6.0311e+00 6.0469e-01
5.6000e-01 1.4916e-01 6.2376e+00 6.4250e-01
5.8000e-01 1.1779e-01 6.2383e+00 6.4154e-01
6.0000e-01 1.5293e-01 6.8551e+00 7.0339e-01
6.2000e-01 1.4840e-01 7.0223e+00 7.0446e-01
6.4000e-01 1.1684e-01 7.2481e+00 7.1763e-01
6.6000e-01 1.4840e-01 7.8522e+00 8.0799e-01
6.8000e-01 1.2715e-01 7.8065e+00 7.7562e-01
7.0000e-01 1.3143e-01 7.5881e+00 7.4170e-01
7.2000e-01 1.6299e-01 7.3265e+00 7.6143e-01
7.4000e-01 1.2701e-01 7.1325e+00 7.2288e-01
7.6000e-01 1.4320e-01 7.6584e+00 7.5750e-01
7.8000e-01 1.7607e-01 7.9987e+00 8.0983e-01
8.0000e-01 1.3189e-01 8.4422e+00 8.1867e-01
8.2000e-01 1.6100e-01 8.6440e+00 8.3918e-01
8.4000e-01 1.8961e-01 8.8319e+00 8.8107e-01
8.6000e-01 1.6459e-01 8.8326e+00 8.6639e-01
8.8000e-01 1.7485e-01 8.9844e+00 8.7721e-01
9.0000e-01 1.8673e-01 9.1880e+00 9.1431e-01
9.2000e-01 1.7354e-01 8.9933e+00 8.7260e-01
9.4000e-01 2.0454e-01 9.1600e+00 8.9226e-01
9.6000e-01 1.8934e-01 9.0067e+00 9.0064e-01
9.8000e-01 1.6664e-01 8.6933e+00 8.5774e-01
1.0000e+00 1.9728e-01 9.6761e+00 9.5005e-01
